id	depth	type	is_leaf	name	path
culture-performing-arts-music-lists-concert-tours	5	event	true	Concert tours	Culture / Performing arts / Music / Lists / Concert tours
culture-performing-arts-music-lists-electronic-music-lists	5	event	false	Electronic music lists	Culture / Performing arts / Music / Lists / Electronic music lists
culture-performing-arts-music-lists-electronic-music-lists-music-genres	6	event	true	Music genres	Culture / Performing arts / Music / Lists / Electronic music lists / Music genres
culture-performing-arts-music-lists-electronic-music-lists-record-labels	6	event	true	Record labels	Culture / Performing arts / Music / Lists / Electronic music lists / Record labels
culture-performing-arts-music-lists-music-genres	5	event	true	Music genres	Culture / Performing arts / Music / Lists / Music genres
culture-performing-arts-music-lists-musical-events	5	event	true	Musical events	Culture / Performing arts / Music / Lists / Musical events
culture-performing-arts-music-lists-musical-instruments	5	event	true	Musical instruments	Culture / Performing arts / Music / Lists / Musical instruments
culture-performing-arts-music-lists-musicians-and-musical-groups	5	event	false	Musicians and musical groups	Culture / Performing arts / Music / Lists / Musicians and musical groups
culture-performing-arts-music-lists-musicians-and-musical-groups-bands	6	event	false	Bands	Culture / Performing arts / Music / Lists / Musicians and musical groups / Bands
culture-performing-arts-music-lists-musicians-and-musical-groups-bands-hardcore-punk-bands	7	event	true	Hardcore punk bands	Culture / Performing arts / Music / Lists / Musicians and musical groups / Bands / Hardcore punk bands
culture-performing-arts-music-lists-musicians-and-musical-groups-composers	6	event	false	Composers	Culture / Performing arts / Music / Lists / Musicians and musical groups / Composers
culture-performing-arts-music-lists-musicians-and-musical-groups-composers-classical-music-composers	7	event	true	Classical music composers	Culture / Performing arts / Music / Lists / Musicians and musical groups / Composers / Classical music composers
culture-performing-arts-music-lists-musicians-and-musical-groups-composers-songwriters-hall-of-fame	7	event	true	Songwriters Hall of Fame	Culture / Performing arts / Music / Lists / Musicians and musical groups / Composers / Songwriters Hall of Fame
culture-performing-arts-music-lists-musicians-and-musical-groups-musicians	6	event	false	Musicians	Culture / Performing arts / Music / Lists / Musicians and musical groups / Musicians
culture-performing-arts-music-lists-musicians-and-musical-groups-musicians-alternative-music-artists	7	event	true	Alternative music artists	Culture / Performing arts / Music / Lists / Musicians and musical groups / Musicians / Alternative music artists
